crop,disease,image_count
Citrus,Sour Rot,1
Citrus,Sour Orange Scab,9
Citrus,Melanose,3
Citrus,Green Alga Leaf Spot,5
Berry,Rust,18
Berry,Elsinoe Necator,1
Berry,Coniothyrium Fungi,10
Berry,Cercosporella Leaf Spots,4
Berry,Entomosporium Fungus,30
Berry,Downy Mildew,4
Berry,Septoria Leaf Blotch,4
Berry,Rhizopus Soft Rots,1
Berry,Bacterial Black Stalk,1
Berry,Tobacco Ringspot Virus,4
Bromelia,Fungus,2
Grape-Leaf Anemone,Tobacco Rattle Virus,3
Koa,Rust,1
Hazelnut,Eastern Filbert Blight,3
Serviceberry,Anthracnose,10
Serviceberry,Gynosporanium Rusts,6
Serviceberry,Powdery Mildew,11
Serviceberry,Pestalotiopsis Fungus,1
Lobeliacardinalflower,Cucumber Mosaic Virus,3
Lobeliacardinalflower,Tomato Spotted Wilt Virus,8
Lobeliacardinalflower,Tobacco Rattle Virus,2
Cabbage Kale,Club Root Of Crucifers,18
Cabbage Kale,Black Rot,22
Cabbage Kale,Downy Mildew,86
Cabbage Kale,Plenodomus Lingam,21
Cabbage Kale,Fusarium Wilts,7
Cabbage Kale,Bacterial Soft Rot,23
Cabbage Kale,Bacterial Streak,7
Cabbage Kale,Leptosphaerulina Leaf Blight,11
Cabbage Kale,Phytophthora Root And Stem Rot,15
Cabbage Kale,Rhizoctonia Damping-Off,18
Gladiolus,Cucumber Mosaic Virus,1
Gladiolus,Gladiolus Rust,2
Gladiolus,White Rot Fungus,5
Black Locust,Fulvifomes Robiniae,5
Cacti  Family Cactaceae,Pestalotiopsis Leaf Spot,2
Maple,Hericium Fungus,9
Maple,Cristulariella Leaf Spot,20
Maple,Leaf Blister,12
Maple,Sphaerulina Aceris,29
Maple,Sapstreak Disease Of Sugar Maple,1
Maple,Anthracnose,73
Maple,Maple Cankers,36
Maple,Elm Oyster,2
Maple,Verticillium Wilt,10
Maple,Bacterial Leaf Scorch,9
Maple,Tar Spot,132
Maple,Powdery Mildew,10
Bouncingbet,Alternaria Black Molds Stem Cankers,8
Rose,Rosisphaerella Rosicola,23166
Rose,Phomopsis Cankers And Twig Blights,16
Rose,Apple Mosaic Virus,4
Rose,Crown Gall,3
Rose,Powdery Mildew,11
Rose,Downy Mildew,2896
Rose,Rose Rust,11
Rose,Gray Mold,1
Rose,Rose Rosette Virus,229
Sorghum  Type Unspecified,Ascochyta Fungi,6
Alder,Sooty Mold,11
Alder,Leaf Blister,1
Alder,Ascochyta Fungi,9
Fox Grape,Downy Mildew,5
Schefflera,Anthracnose,1
Pine,Lophodermium Needle Casts,68
Pine,Phomopsis Cankers And Twig Blights,11
Pine,Pine Needle Rust,38
Pine,Stem Rot,40
Pine,Southern Cone Rust,3
Pine,Blue Stain,4
Pine,Cronartium Gall Rusts,16
Pine,Caliciopsis Canker,12
Pine,Atropellis Canker,5
Pine,Brown Felt Blight Of Pines,2
Pine,Needle Cast,58
Pine,Root Rot,98
Pine,Sirococcus Blight,22
Pine,Truncatella Fungi,8
Pine,Indian Paint Fungus,1
Pine,Leaf Blotch,12
Pine,Limb Rust,5
Pine,Diplodia Tip Blights,106
Pine,Pitch Canker,12
Pine,Septoria Leaf Spot And Cankers,18
Pine,Dothiostroma Fungus,49
Pine,Sarea Fungus,8
Pine,Comandra Blister Rust,116
Pine,Scleroderris Canker Of Pine And Spruce,6
Pine,Sooty Mold,10
Pine,Medusa Needle Blight,1
Pine,Fusiform Rust,5
Giant Sequoia,Botryosphaeria Canker,1
Giant Sequoia,Annosum Root Disease,1
Common Coleus,Downy Mildew,2
Common Coleus,Impatiens Necrotic Spot Virus,8
Laceleaf,Bitter Rot And Anthracnose,1
Laceleaf,Pestalotiopsis Leaf Spot,2
Okra,Choanephora Fruit Rot,18
Okra,Powdery Mildew,5
Asparagus,Cercospora Leaf Spot,2
Asparagus,Phaeosphaeria Fungi,4
Jade Plant,Fungi,8
Giant Hyssop,Rust,5
Giant Hyssop,Impatiens Necrotic Spot Virus,2
Hosta,Cercospora Fungi,8
Hosta,Arabis Mosaic Virus,57
Hosta,Gray Mold,4
Hosta,Southern Blight,10
Hosta,Alternaria Black Molds Stem Cankers,5
Cotoneaster,Phyllosticta Leaf Spot,8
Cotoneaster,Ceratobasidium Ochroleucum,1
Bride S Feathers,Cercospora Fungi,1
Ohio Buckeye,Rust,11
Primrose,Powdery Mildew,2
Gentian,Epicoccum Fungi,1
Gentian,Alternaria Black Molds Stem Cankers,2
Blackberry Raspberry,Bramble Leaf Rust,6
Blackberry Raspberry,Downy Mildew,10
Blackberry Raspberry,Pythium Diseases,1
Sweet Autumn Virginsbower,Calophoma Clematidina,9
Redvein Enkianthus,Phyllosticta Leaf Spot,13
Mimosa,Mimosa Wilt,18
Cyamopsis,Anthracnose,3
Common Filbert,Eastern Filbert Blight,36
Plumeria,Rust,4
Freesia,Freesia Sneak Virus,3
Freesia,Freesia Mosaic Virus,1
Hollyhock,Hollyhock Rust,22
Hollyhock,Tobacco Rattle Virus,2
Forsythia,Phomopsis Cankers And Twig Blights,12
Forsythia,Armillaria Root Rot,2
Forsythia,Sclerotinia Rots,5
Rattlesnake Plant,Drechslera Leaf Spot,1
Larkspur,Ascochyta Fungi,7
Blackgum,Felt Fungus,2
Common Ninebark,Powdery Mildew,12
Purslane,Phoma Blight,4
Purslane,Alternanthera Mosaic Virus,7
Common Periwinkle,Phoma Blight,1
Common Periwinkle,Pythium Diseases,4
Common Periwinkle,Cucumber Mosaic Virus,1
Cassava,Green Mite,710
Cassava,Bacterial Blight,2315
Cassava,Leaf Mosaic Virus,843
Cassava,Brown Spot,1036
Cassava,Black Rot,2
Coffee,Brown Eye Spot,5396
Coffee,Black Rot,7
Coffee,Phoma,4599
Coffee,Berry Blotch,118
Coffee,Rust,6436
Heather,Phytophthora Root And Crown Rots,2
Yellow Pitcherplant,Anthracnose,1
Gooseberry,White Pine Blister Rust,15
Gooseberry,Anthracnose,4
Hibiscus,Phomopsis Cankers And Twig Blights,1
Beech,Nectria Canker,37
Beech,Beech Leaf Disease,31
Beech,Phytophthora Crown Rot,1
Beech,Sooty Mold,5
Beech,Anthracnose,2
Avocado,Avocado Sunblotch Viroid,2
Coco Yam  Wild Taro,Dasheen Mosaic Virus,2
Walnut,Neonectria Canker,60
Walnut,Cylindrocladium Root Diseases,2
Walnut,Ophiognomonia Leptostyla,12
Walnut,Phytophthora Crown Rot,4
Walnut,Pseudomicrostroma Juglandis,4
Oat,Sharp Eyespot,1
Oat,Crown Rust,11
Oat,Barley Yellow Dwarf Virus,2
Cinnamon,Fungus,6
Loquat,Fire Blight,6
Maranta,Myrothecium Leaf Spot,1
Maranta,Cucumber Mosaic Virus,1
Pot Marigold,Fusarium Wilts,5
German Iris,Tobacco Rattle Virus,1
German Iris,Heterosporium Leaf Spot On Iris,1
German Iris,Gray Mold,2
Apricot,Cherry Twisted Leaf Virus,2
Apricot,Tomato Ringspot Virus,1
Apricot,Gray Mold,1
Apricot,Stigmina Fungus,5
Apricot,Brown Rot,9
Magnolia,Green Alga Leaf Spot,5
Magnolia,Phytophthora Root And Crown Rots,1
Magnolia,Sooty Mold,10
Celandine Poppy,Tobacco Rattle Virus,1
Aster,Bacterial Leaf Spot,2
False Spiraea,Tobacco Streak Virus,1
Cape Primrose,Impatiens Necrotic Spot Virus,2
Arborvitae,Pestalotiopsis Leaf Spot,7
Arborvitae,Needlecast,1
Arborvitae,Seiridium Cankers,13
Privet,Mycosphaerella Leaf Spot,16
Princesstree,Phyllosticta Leaf Spot,7
Common Zinnia,Alternaria Black Molds Stem Cankers,6
Larch,Larch Needle Cast,3
Larch,Schweinitzii Root And Butt Disease,4
Pincushions,Tobacco Rattle Virus,1
Mountain Laurel,Pseudocercospora Leaf Spot,2
Common Hop,Fusarium Wilts,28
Common Hop,Downy Mildew,115
Common Hop,Apple Mosaic Virus,11
Common Hop,Hop Stunt Viroid,8
Common Hop,Powdery Mildew,59
Common Hop,Carnation Latent Virus,24
Wisterias,Wisteria Vein Mosaic Virus,1
Wisterias,Nectria Canker,3
Philodendron,Root Rot,1
Aralia,Anthracnose,1
Spruce,Dothiostroma Fungus,4
Spruce,Diplodia Sapinea De Not,4
Spruce,Brown Felt Blight Of Pines,3
Spruce,Ceropsora Weirii,50
Spruce,Cytospora Cankers,15
Spruce,Bud Blight Of Spruce,2
Spruce,Tomentosus Root Disease,3
Spruce,Rhizosphaera Needle Cast,51
Spruce,Sirococcus Blight,20
Spruce,Truncatella Fungi,9
Spruce,Red-Belted Fungus,4
Carrot,Alternaria Leaf Spot,79
Carrot,Cavity Spot,72
Garlic,Rust,106
Garlic,Leaf Blight,92
Durian,Algal Leaf Spot,2293
Durian,Allocaridara Attack,822
Dieffenbachia,Bitter Rot And Anthracnose,3
Quince,Entomosporium Leaf Spot,2
Zinnia,Alternaria Blight,5
Zinnia,Berkeleyomyces Basicola,3
Zinnia,Tomato Spotted Wilt Virus,2
Zinnia,Cladosporium Fungi,9
Zinnia,Powdery Mildew,6
Dogwood,Cryptodiaporthe Fungus,18
Dogwood,Powdery Mildew,20
Dogwood,Dogwood Anthracnose,22
Dogwood,Cylindrocladium Root Diseases,5
Dogwood,Botryosphaeria Rots And Cankers,2
Dogwood,Septoria Leaf Spot And Cankers,6
Dogwood,Gray Mold,2
Dogwood,Brown Rot,11
Pineapple,Bacteria Wilt And Soft Rot,3
Star Of Bethlehem,Rust,4
Sugarcane,Yellow Leaf,1528
Sugarcane,Banded Chlorosis,329
Sugarcane,Leaf Mosaic Virus,1557
Sugarcane,Smut,221
Sugarcane,Eye Spot,527
Sugarcane,Sett Rot,456
Sugarcane,Brown Rust,1305
Sugarcane,Leaf Scald,217
Sugarcane,Red Spot,285
Sugarcane,Pokkah Boeng,683
Sugarcane,Brown Spot,1205
Sugarcane,Grassy Shoot,242
Phlox,Powdery Mildew,38
Phlox,Alternanthera Mosaic Virus,15
Phlox,Downy Mildew,17
Phlox,Septoria Leaf Spot And Cankers,7
Pea,Septoria Leaf Blotch,8
Pea,Powdery Mildew,12
Pea,Berkeleyomyces Basicola,4
Pea,Bacterial Blight,8
Pea,Ascochyta Blight,21
Pea,Phytoplasma,8
Pea,Fusarium Wilts,5
Touch-Me-Not,Downy Mildew,15
Touch-Me-Not,Impatiens Necrotic Spot Virus,2
Toothache Plant,Aster Yellows Phytoplasma,3
Anemone,Tobacco Mosaic Virus,4
Murraya,Anthracnose,6
Murraya,Alternaria Black Molds Stem Cankers,3
Murraya,Phloeospora Leaf Spot,5
Foamflower,Bacterial Leaf Speck,3
Eastern Redbud,Pseudocercospora Leaf Spot,9
Eastern Redbud,Verticillium Wilt,1
Eastern Redbud,Botryosphaeria Rots And Cankers,4
Sassafras,Laurel Wilt,3
Firethorn,Apple Scab,1
Calibrachoa,Berkeleyomyces Basicola,8
Calibrachoa,Tobacco Mosaic Virus,1
Calibrachoa,Acidovorax Bacteria,3
Mountainmint,Mint Rust,1
Hickory,Bitter Rot And Anthracnose,2
Hickory,Ascochyta Fungi,41
Hickory,Strumella Canker,1
Hickory,Leaf Mold,1
Hickory,Powdery Mildew,2
Hickory,Pecan Bunch,28
Hickory,Bacterial Leaf Scorch,7
Hickory,Sooty Mold,3
Gloxinia,Impatiens Necrotic Spot Virus,1
Gloxinia,Phytophthora Blight,1
St  Johnswort,Pestalotiopsis Leaf Spot,1
St  Johnswort,Gray Mold,2
Poplar,Hypoxylon Canker,5
Poplar,Black Rot,4
Poplar,Powdery Mildew,3
Poplar,Macrophoma Rough Bark Disease,1
Poplar,Bacterial Wetwood,3
Poplar,Bronze Leaf Disease,7
Poplar,Artist S Conk,5
Poplar,Armillaria Root Rot,3
Poplar,Drepanopeziza Populi Rimpau,8
Poplar,Shepherd S Crook Leaf And Shoot Blight,1
Poplar,Cytospora Cankers,2
Poplar,Sooty Mold,2
Beeblossom,Epicoccum Fungi,1
Petunia,Tobacco Mosaic Virus,4
Petunia,Powdery Mildew,2
Petunia,Acidovorax Bacteria,6
Astilbe,Tobacco Rattle Virus,1
Sapote,Cercospora Fungus,2
Hoya,Bitter Rot And Anthracnose,2
American Holly,Berkeleyomyces Basicola,10
Kale,Black Rot,4
Ninebark,Powdery Mildew,8
Satsuki Azalea,Exobasidium Fungus,6
Stonecrop,Cucumber Mosaic Virus,2
Stonecrop,Bacterial Black Stalk,1
Mallows,Hollyhock Rust,16
Elephant-Ear,Tobacco Rattle Virus,2
Rocketsalad,Downy Mildew,8
Camphortree,Laurel Wilt,3
Honeydew,Anthracnose,8
Honeydew,Bacterial Wilt,4
Nectarine,Peach Leaf Curl,2
Nectarine,Powdery Mildew,1
Begonia,Cucumber Mosaic Virus,2
Koelreuteria,Bitter Rot And Anthracnose,1
Hellebore,Microsphaeropsis Hellebori,5
Clematis,Tobacco Rattle Virus,1
Japanese Spiraea,Spiraea Yellow Leaf Spot Virus,3
Cashew,Anthracnose,1170
Cashew,Red Rust,1177
Boston Swordfern,Root Rot,4
Thornless Honeylocust,Cercospora Fungi,7
Peony,Phytophthora Crown Rot,10
Peony,Cladosporium Fungi,8
Peony,Botrytis Blight,24
Peony,Tobacco Rattle Virus,8
Peony,Cercospora Fungi,9
Peony,Anthracnose,13
Peony,Bacterial Blight,5
Peony,Dothiorella Cankers,2
Aspenpoplar,Cytospora Cankers,16
Aspenpoplar,Poplar Rust,2
Aspenpoplar,Marssonina Leaf Spot,14
Aspenpoplar,Black Rot,1
Aspenpoplar,Septoria Leaf Spot And Cankers,7
Aspenpoplar,Fusarium Wilts,1
Aspenpoplar,Bronze Leaf Disease,6
Aspenpoplar,Dothichiza Canker Of Poplar,6
Aspenpoplar,Armillaria Root Rot,2
Acacia,Ravenelia Rusts,2
Winged Burning Bush,Tubercularia Cankers,8
Velvet Bentgrass,Rhizoctonia Damping-Off,1
Edible Fig,Cercospora Fungi,2
Edible Fig,Fig Rust,3
American Boxwood,Boxwood Blight,31
Tickseed,Potyvirus,3
Tickseed,Bacterial Leaf Spot,1
Tickseed,Downy Mildew,4
Quickstick,Passalora Fungus,2
American Pistachio,Brown Spot,8
American Pistachio,Gray Mold,1
American Pistachio,Botryosphaeria Canker,5
English Ivy,Anthracnose,8
English Ivy,Pythium Diseases,1
Bottlebrush,Green Alga Leaf Spot,2
Bottlebrush,Fusicoccum Canker,2
Coneflower,Downy Mildew,14
Coneflower,Septoria Leaf Blotch,1
Coneflower,Aster Yellows Phytoplasma,10
Cosmos,Smut,8
Black Cohosh,Ascochyta Fungi,3
Peperomia,Phyllosticta Leaf Spot,1
Coleus,Impatiens Necrotic Spot Virus,8
Coleus,Downy Mildew,18
Bean,Fusarium Damping-Off,16
Bean,Anthracnose,4
Bean,Charcoal Rot,2
Bean,Boeremia Exigua Var,1
Bean,Phytophthora Blight,1
Bean,Angular Leaf Spot,345
Bean,Cucumber Mosaic Virus,60
Bean,Choanephora Fruit Rot,3
Bean,Sclerotinia Timber Rot,27
Bean,Aspergillus Fungi,3
Bean,Cercospora Blight,4
Bean,Bacterial Leaf Speck,1
Bean,Flower Blights,10
Bean,Common Bacterial Blight Of Beans,115
Bean,Frogeye Leaf Spot,6
Bean,Bean Pod Mottle Virus,8
Bean,Bacterial Wilt,9
Bean,Fusarium Wilt,1
Bean,Tomato Spotted Wilt Virus,6
Bean,Beet Curly Top Virus,15
Witch-Hazel,Gonatobotryum Fungus,20
Witch-Hazel,Phyllosticta Leaf Spot,18
White Mulberry,Phloeospora Leaf Spot,7
White Mulberry,Bacterial Leaf Scorch,1
White Mulberry,Nattrassia Fungus,2
Blackberry Lily,Impatiens Necrotic Spot Virus,7
American Sycamore,Sycamore Anthracnose,5
American Sycamore,Bacterial Leaf Scorch,2
American Sycamore,Powdery Mildew,1
Common Horse Chestnut,Guignardia Blotch,2
Columbine,Bacterial Leaf Speck,1
Melon,Blossom End Rot,10
Melon,Phytophthora Blight,203
Melon,Anthracnose,105
Melon,Fusarium Wilt,17
Melon,Sour Rot,28
Melon,Damping-Offroot Rot,37
Melon,Berkeleyomyces Basicola,4
Melon,Alternaria Black Molds Stem Cankers,50
Melon,Charcoal Rot,62
Melon,Southern Blight,15
Melon,Downy Mildew,77
Melon,Cercospora Fungi,17
Melon,Choanephora Fruit Rot,5
Melon,Powdery Mildew,62
Melon,Watermelon Mosaic Virus,11
Melon,Bacterial Wilt,13
Melon,Cucurbit Yellow Vine Decline,10
Melon,Gummy Stem Blight,139
Melon,Rhizopus Soft Rots,9
Melon,Bacterial Fruit Blotch,75
Melon,Phytoplasma,9
Costus,Pestalotiopsis Leaf Spot,3
Microbiota,Phomopsis Cankers And Twig Blights,14
Parsley,Carrot Powdery Mildew,9
Parsley,Septoria Leaf Blotch,12
Bellflower,Cucumber Mosaic Virus,1
Italian Cypress,Phyllosticta Leaf Spot,13
Common Elderberry,Cercospora Fungi,9
Blueberry,Botryosphaeria Fungus,15
Blueberry,Mummy Berry,120
Blueberry,Leaf And Flower Gall,13
Blueberry,Valdensia Leaf Blight,4
Blueberry,Botrytis Blight,40
Blueberry,Powdery Mildew,3
Blueberry,Phomopsis Cankers And Twig Blights,33
Blueberry,Seimatosporium Fungi,8
Blueberry,Brown Rot,1
Blueberry,Blueberry Leaf Rust,65
Blueberry,Anthracnose,69
Blueberry,Blueberry Stunt,2
Blueberry,Cladosporium Fungi,1
Blueberry,Scorch,43
Blueberry,Septoria Leaf Blotch,3
Dracaena,Fusarium Wilts,1
Daisy,Brown Rust,10
Daisy,Bacterial Leaf Spot,10
Daisy,Phytophthora Root And Stem Rot,24
Daisy,Aster Yellows Phytoplasma,1
Asian Bayberry,Pestalotiopsis Leaf Spot,1
Heliconia,Leptosphaeria Leaf Blight,3
Heliconia,Bitter Rot And Anthracnose,1
Mustard,Plenodomus Lingam,10
Mustard,Cercosporella Leaf Spots,2
Mustard,Downy Mildew,1
Mustard,White Rust,10
Mustard,Powdery Mildew,5
Mustard,Sclerotinia Rots,11
Mustard,Black Rot,4
Cordyline,Epicoccum Draconis,3
Hydrangea,Gray Mold,14
Hydrangea,Fusarium Wilts,5
Hydrangea,Wood Rot Fungi,5
Hydrangea,Ascochyta Fungi,22
Hydrangea,Bacterial Leaf Spot,4
Hydrangea,Pestalotiopsis Leaf Spot,2
